UTC Date & Time,Voyage No.,Instructed Speed,CP Fuel Cons. limit,SS/HS/PS,Steaming time (HRS),Speed (KTS),Slip (%),Wind force,ME FO Consumption,Total FO Consumption,ME FO Consumption / 24 hrs,TOTAL FO Consumption / 24 hrs
20-Aug-21,01 B,11,32,SS,3,11.7,5.41,4,4.2,4.72,93.6,37.76
21-Aug-21,01 B,11,32,SS,24,11.4,9,5,33.5,36.5,11.4,36.5
22-Aug-21,01 B,11,32,SS,24,11.8,5.33,3,33.5,36.5,11.8,36.5
23-Aug-21,01 B,11,32,SS,23.7,12.2,2.36,3,33.1,36.04,12.35,36.5
7-Sep-21,02 B,11,32,SS,18,10.2,19.38,5,24.9,27.3,13.6,36.4
8-Sep-21,02 B,11,32,SS,24.5,10.3,18.45,5,32.8,37.2,10.09,36.44
9-Sep-21,02 B,11,32,SS,24,10.2,15.57,5,32.4,36.5,10.2,36.5
10-Sep-21,02 B,11,32,SS,25,11.2,10.22,3,34.8,38,10.75,36.48
10-Sep-21,02 B,11,32,SS,8,11,12,3,11,12,33,36
29-Sep-21,03 B,11,32,SS,13.5,10.5,12.88,6,18.9,20.5,18.67,36.44
30-Sep-21,03 B,11,32,SS,24,6.7,45.24,5,33.5,36.5,6.7,36.5
1-Oct-21,03 B,11,32,SS,24,11.3,15.63,4,33.5,36.5,11.3,36.5
2-Oct-21,03 B,11,32,SS,24,11.4,5.52,4,33.5,36.5,11.4,36.5
3-Oct-21,03 B,11,32,SS,24,11.1,11.3,4,33.5,36.5,11.1,36.5
4-Oct-21,03 B,11,32,SS,24,11.71,6.64,5,33.5,36.5,11.71,36.5
5-Oct-21,03 B,11,32,SS,24,11.42,10.02,4,33.5,36.5,11.42,36.5
5-Oct-21,03 B,11,32,SS,9.1,11.43,10.03,4,12.65,13.8,30.15,36.4
20-Oct-21,04 B,11,32,SS,7.5,12.27,2.13,3,10.2,11.1,39.26,35.52
21-Oct-21,04 B,11,32,SS,24,11.96,4.97,4,32.5,35.5,11.96,35.5
