UTC Date & Time,TOTAL FO Consumption / 24 hrs
2021-08-26,35.93
2021-08-27,37
2021-08-28,37
2021-08-29,37
2021-08-30,37
2021-08-31,37
2021-09-01,37
2021-09-02,37
2021-09-02,36.8
2021-09-14,36.84
2021-09-16,36.87
2021-09-17,35.4
2021-09-18,37
2021-09-19,36.2
2021-09-19,36.82
2021-10-09,32.07
2021-10-10,37
2021-10-11,37
2021-10-12,36
2021-10-13,36
2021-10-14,36
2021-10-15,36
2021-10-15,36
2021-10-29,39
2021-10-30,40
2021-10-31,40.5
2021-11-01,40.5
2021-11-02,40.5
2021-11-03,40.5
2021-11-04,40.5
2021-11-04,41.28
2021-11-23,40.41
2021-11-24,35
2021-11-25,35.5
2021-11-26,35.5
2021-11-27,35.43
2021-11-28,35.4
2021-11-29,35.5
2021-11-30,35.5
2021-11-30,35.2
2021-12-19,32.77
2021-12-20,32.5
2021-12-21,32.5
2021-12-22,32.5
2021-12-23,32.5
2021-12-24,32.5
2021-12-25,32.5
2021-12-25,31.01
2022-01-13,34.2
2022-01-14,32.5
2022-01-15,32.5
2022-01-16,32.5
2022-01-17,30.5
2022-01-17,28.8
2022-01-19,31.64
2022-01-20,32.5
2022-01-21,32.5
2022-01-21,31.2
2022-02-12,46.32
2022-02-13,42.5
2022-02-14,42.7
2022-02-15,45.1
2022-02-16,44.1
2022-02-17,43.7
2022-02-18,36.5
2022-02-18,28.8
2022-03-06,28.36
2022-03-07,29.7
2022-03-08,31.3
2022-03-09,31.8
2022-03-10,31.8
2022-03-11,32.1
2022-03-12,32.1
2022-03-13,32
2022-04-05,34.49
2022-04-06,34
2022-04-07,31
2022-04-08,31
2022-04-09,30.7
2022-04-10,30.3
2022-04-11,29.6
2022-04-12,28.9
2022-04-13,30.51
2022-04-14,28.4
2022-04-15,22.2
2022-04-15,27.69
2022-04-18,29.05
2022-04-19,29.5
2022-04-20,30.4
2022-04-21,30.4
2022-04-22,30.4
2022-04-23,31.6
2022-04-24,31.2
2022-04-25,30.9
2022-04-26,30.9
2022-04-27,32.3
2022-04-28,33.8
2022-04-29,33.4
2022-04-30,30.42
2022-06-01,27.6
2022-06-02,26.1
2022-06-03,26.2
2022-06-04,26.2
2022-06-05,25.8
2022-06-06,26.1
2022-06-07,26.2
2022-06-08,26.2
2022-06-08,26.18
2022-06-23,30.63
2022-06-24,30.4
2022-06-25,30
2022-06-26,27.9
2022-06-27,32.7
2022-06-28,30.6
2022-06-29,31.9
2022-06-30,31.7
2022-07-01,32.18
