UTC Date & Time,Instructed Speed
2021-08-20,11
2021-08-21,11
2021-08-22,11
2021-08-23,11
2021-09-07,11
2021-09-08,11
2021-09-09,11
2021-09-10,11
2021-09-10,11
2021-09-29,11
2021-09-30,11
2021-10-01,11
2021-10-02,11
2021-10-03,11
2021-10-04,11
2021-10-05,11
2021-10-05,11
2021-10-20,11
2021-10-21,11
2021-10-22,11
2021-10-23,11
2021-10-24,11
2021-10-25,11
2021-10-26,11
2021-10-27,11
2021-11-10,11
2021-11-11,11
2021-11-12,11
2021-11-13,11
2021-11-14,11
2021-11-15,11
2021-11-16,11
2021-11-17,11
2021-12-07,11
2021-12-08,11
2021-12-09,11
2021-12-10,11
2021-12-11,11
2021-12-12,11
2021-12-13,11
2021-12-14,11
2021-12-14,11
2021-12-31,11
2022-01-01,11
2022-01-02,11
2022-01-03,11
2022-01-04,11
2022-01-05,11
2022-01-06,11
2022-01-30,11
2022-01-31,11
2022-02-01,11
2022-02-02,11
2022-02-03,11
2022-02-06,11
2022-02-07,11
2022-02-08,11
2022-02-09,11
2022-02-22,11
2022-02-23,11
2022-02-24,11
2022-02-25,11
"26-Feb-22,",11
2022-02-27,11
2022-02-28,11
2022-03-01,11
2022-03-01,11
2022-03-20,11
2022-03-20,11
2022-03-24,11
2022-03-24,11
2022-05-06,11
2022-05-06,11
2022-05-07,11
2022-05-07,11
2022-05-10,11
2022-05-11,11
2022-05-12,11
2022-05-13,11
2022-05-14,11
2022-05-15,11
2022-05-16,11
2022-05-17,11
2022-05-18,11
2022-05-19,11
2022-05-20,11
2022-05-22,11
2022-05-22,11
2022-05-23,11
2022-05-24,11
2022-05-25,11
2022-05-26,11
2022-05-27,11
2022-05-28,11
2022-05-28,11
2022-06-12,11
2022-06-13,11
2022-06-14,11
2022-06-15,11
2022-06-16,11
2022-06-17,11
2022-06-18,11
2022-06-18,11
2022-07-07,11
2022-07-08,11
2022-07-09,11
2022-07-10,11
2022-07-11,11
2022-07-12,11
