UTC Date & Time,CP Fuel Cons. limit
2021-08-20,32
2021-08-21,32
2021-08-22,32
2021-08-23,32
2021-09-07,32
2021-09-08,32
2021-09-09,32
2021-09-10,32
2021-09-10,32
2021-09-29,32
2021-09-30,32
2021-10-01,32
2021-10-02,32
2021-10-03,32
2021-10-04,32
2021-10-05,32
2021-10-05,32
2021-10-20,32
2021-10-21,32
2021-10-22,32
2021-10-23,32
2021-10-24,32
2021-10-25,32
2021-10-26,32
2021-10-27,32
2021-11-10,32
2021-11-11,32
2021-11-12,32
2021-11-13,32
2021-11-14,32
2021-11-15,32
2021-11-16,32
2021-11-17,32
2021-12-07,32
2021-12-08,32
2021-12-09,32
2021-12-10,32
2021-12-11,32
2021-12-12,32
2021-12-13,32
2021-12-14,32
2021-12-14,32
2021-12-31,32
2022-01-01,32
2022-01-02,32
2022-01-03,32
2022-01-04,32
2022-01-05,32
2022-01-06,32
2022-01-30,32
2022-01-31,32
2022-02-01,32
2022-02-02,32
2022-02-03,32
2022-02-06,32
2022-02-07,32
2022-02-08,32
2022-02-09,32
2022-02-22,32
2022-02-23,32
2022-02-24,32
2022-02-25,32
"26-Feb-22,",32
2022-02-27,32
2022-02-28,32
2022-03-01,32
2022-03-01,32
2022-03-20,32
2022-03-20,32
2022-03-24,32
2022-03-24,32
2022-05-06,32
2022-05-06,32
2022-05-07,32
2022-05-07,32
2022-05-10,32
2022-05-11,32
2022-05-12,32
2022-05-13,32
2022-05-14,32
2022-05-15,32
2022-05-16,32
2022-05-17,32
2022-05-18,32
2022-05-19,32
2022-05-20,32
2022-05-22,32
2022-05-22,32
2022-05-23,32
2022-05-24,32
2022-05-25,32
2022-05-26,32
2022-05-27,32
2022-05-28,32
2022-05-28,32
2022-06-12,32
2022-06-13,32
2022-06-14,32
2022-06-15,32
2022-06-16,32
2022-06-17,32
2022-06-18,32
2022-06-18,32
2022-07-07,32
2022-07-08,32
2022-07-09,32
2022-07-10,32
2022-07-11,32
2022-07-12,32
