UTC Date & Time,FW production /24 
2021-08-26,6.67
2021-08-27,12
2021-08-28,15
2021-08-29,14
2021-08-30,16
2021-08-31,14
2021-09-01,14
2021-09-02,15
2021-09-02,0
2021-09-14,0
2021-09-16,16.09
2021-09-17,18
2021-09-18,18
2021-09-19,18
2021-09-19,0
2021-10-09,9.23
2021-10-10,16
2021-10-11,16
2021-10-12,16
2021-10-13,16
2021-10-14,16
2021-10-15,16
2021-10-15,19.2
2021-10-29,16
2021-10-30,5
2021-10-31,15
2021-11-01,16
2021-11-02,16
2021-11-03,16
2021-11-04,16
2021-11-04,19.2
2021-11-23,20.13
2021-11-24,20
2021-11-25,20
2021-11-26,20
2021-11-27,19.43
2021-11-28,24
2021-11-29,20
2021-11-30,20
2021-11-30,32
2021-12-19,15.38
2021-12-20,18
2021-12-21,20
2021-12-22,19
2021-12-23,20
2021-12-24,19
2021-12-25,20
2021-12-25,15.58
2022-01-13,0
2022-01-14,14
2022-01-15,17
2022-01-16,18
2022-01-17,17
2022-01-17,14.4
2022-01-19,15.58
2022-01-20,17
2022-01-21,17
2022-01-21,0
2022-02-12,13.2
2022-02-13,0
2022-02-14,16
2022-02-15,17
2022-02-16,17
2022-02-17,17
2022-02-18,17
2022-02-18,0
2022-03-06,39.27
2022-03-07,12
2022-03-08,16
2022-03-09,16
2022-03-10,18
2022-03-11,18
2022-03-12,18
2022-03-13,3.75
2022-04-05,0
2022-04-06,20
2022-04-07,19
2022-04-08,19.6
2022-04-09,19
2022-04-10,19
2022-04-11,19.5
2022-04-12,18.8
2022-04-13,20.37
2022-04-14,19.3
2022-04-15,12.2
2022-04-15,19.15
2022-04-18,15.16
2022-04-19,19
2022-04-20,18
2022-04-21,19
2022-04-22,19
2022-04-23,19
2022-04-24,19
2022-04-25,19
2022-04-26,19
2022-04-27,21
2022-04-28,23
2022-04-29,0
2022-04-30,20.28
2022-06-01,17.14
2022-06-02,18
2022-06-03,17
2022-06-04,18
2022-06-05,18
2022-06-06,0
2022-06-07,18
2022-06-08,15
2022-06-08,19.64
2022-06-23,15.79
2022-06-24,18
2022-06-25,17
2022-06-26,17
2022-06-27,17
2022-06-28,17
2022-06-29,18
2022-06-30,17
2022-07-01,17.14
