UTC Date & Time,Slip (%)
2021-08-26,13.95
2021-08-27,15.82
2021-08-28,16.61
2021-08-29,15.72
2021-08-30,25
2021-08-31,16.11
2021-09-01,17.33
2021-09-02,16.39
2021-09-02,19.3
2021-09-14,10.56
2021-09-16,19.55
2021-09-17,19.65
2021-09-18,18
2021-09-19,17.87
2021-09-19,32.76
2021-10-09,7.69
2021-10-10,12.25
2021-10-11,17.32
2021-10-12,24.5
2021-10-13,16.23
2021-10-14,6.62
2021-10-15,11.26
2021-10-15,12.17
2021-10-29,11.69
2021-10-30,16.88
2021-10-31,11.95
2021-11-01,4.09
2021-11-02,12.26
2021-11-03,9.12
2021-11-04,12.26
2021-11-04,0.6
2021-11-23,12.94
2021-11-24,14.52
2021-11-25,8.61
2021-11-26,10.96
2021-11-27,18.8
2021-11-28,12.31
2021-11-29,16.56
2021-11-30,16.56
2021-11-30,25.64
2021-12-19,17.91
2021-12-20,24.01
2021-12-21,14.8
2021-12-22,12.83
2021-12-23,28.95
2021-12-24,14.47
2021-12-25,18.09
2021-12-25,21.05
2022-01-13,10.2
2022-01-14,21.33
2022-01-15,21.52
2022-01-16,13.2
2022-01-17,15.36
2022-01-17,16.58
2022-01-19,15.96
2022-01-20,17.85
2022-01-21,23.41
2022-01-21,15.87
2022-02-12,27.59
2022-02-13,13.28
2022-02-14,7.09
2022-02-15,14.98
2022-02-16,13.78
2022-02-17,15.26
2022-02-18,18.23
2022-02-18,3.47
2022-03-06,24.94
2022-03-07,19.03
2022-03-08,17.38
2022-03-09,7.28
2022-03-10,14.57
2022-03-11,13.58
2022-03-12,14.57
2022-03-13,18.92
2022-04-05,20.39
2022-04-06,19.57
2022-04-07,18.77
2022-04-08,18.51
2022-04-09,18
2022-04-10,17
2022-04-11,17.57
2022-04-12,10.44
2022-04-13,17.68
2022-04-14,17.6
2022-04-15,17.2
2022-04-15,17.62
2022-04-18,19.57
2022-04-19,23.51
2022-04-20,
2022-04-21,
2022-04-22,19.65
2022-04-23,17.17
2022-04-24,18.23
2022-04-25,17.37
2022-04-26,9.41
2022-04-27,19.9
2022-04-28,23.26
2022-04-29,24.81
2022-04-30,18.92
2022-06-01,27.61
2022-06-02,17.91
2022-06-03,16.73
2022-06-04,
2022-06-05,
2022-06-06,
2022-06-07,19.16
2022-06-08,17.7
2022-06-08,11.45
2022-06-23,
2022-06-24,
2022-06-25,
2022-06-26,25.54
2022-06-27,
2022-06-28,
2022-06-29,
2022-06-30,
2022-07-01,
