UTC Date & Time,CP Fuel Cons. Limit
2021-08-26,36
2021-08-27,36
2021-08-28,36
2021-08-29,36
2021-08-30,36
2021-08-31,36
2021-09-01,36
2021-09-02,36
2021-09-02,36
2021-09-14,36
2021-09-16,36
2021-09-17,36
2021-09-18,36
2021-09-19,36
2021-09-19,36
2021-10-09,36
2021-10-10,36
2021-10-11,36
2021-10-12,36
2021-10-13,36
2021-10-14,36
2021-10-15,36
2021-10-15,36
2021-10-29,36
2021-10-30,36
2021-10-31,36
2021-11-01,36
2021-11-02,36
2021-11-03,36
2021-11-04,36
2021-11-04,36
2021-11-23,36
2021-11-24,36
2021-11-25,36
2021-11-26,36
2021-11-27,36
2021-11-28,36
2021-11-29,36
2021-11-30,36
2021-11-30,36
2021-12-19,36
2021-12-20,36
2021-12-21,36
2021-12-22,36
2021-12-23,36
2021-12-24,36
2021-12-25,36
2021-12-25,36
2022-01-13,36
2022-01-14,36
2022-01-15,36
2022-01-16,36
2022-01-17,36
2022-01-17,36
2022-01-19,36
2022-01-20,36
2022-01-21,36
2022-01-21,36
2022-02-12,36
2022-02-13,36
2022-02-14,36
2022-02-15,36
2022-02-16,36
2022-02-17,36
2022-02-18,36
2022-02-18,36
2022-03-06,36
2022-03-07,36
2022-03-08,36
2022-03-09,36
2022-03-10,36
2022-03-11,36
2022-03-12,36
2022-03-13,36
2022-04-05,36
2022-04-06,36
2022-04-07,36
2022-04-08,36
2022-04-09,36
2022-04-10,36
2022-04-11,36
2022-04-12,36
2022-04-13,36
2022-04-14,36
2022-04-15,36
2022-04-15,36
2022-04-18,36
2022-04-19,36
2022-04-20,36
2022-04-21,36
2022-04-22,36
2022-04-23,36
2022-04-24,36
2022-04-25,36
2022-04-26,36
2022-04-27,36
2022-04-28,36
2022-04-29,36
2022-04-30,36
2022-06-01,36
2022-06-02,36
2022-06-03,36
2022-06-04,36
2022-06-05,36
2022-06-06,36
2022-06-07,36
2022-06-08,36
2022-06-08,36
2022-06-23,36
2022-06-24,36
2022-06-25,36
2022-06-26,36
2022-06-27,36
2022-06-28,36
2022-06-29,36
2022-06-30,36
2022-07-01,36
