UTC Date & Time,Speed (KTS)
2021-08-26,10.3
2021-08-27,10.4
2021-08-28,10.5
2021-08-29,10.5
2021-08-30,9.5
2021-08-31,10.4
2021-09-01,10.3
2021-09-02,10.4
2021-09-02,10.2
2021-09-14,9.8
2021-09-16,10
2021-09-17,9.5
2021-09-18,10.3
2021-09-19,10
2021-09-19,8.9
2021-10-09,11.1
2021-10-10,11
2021-10-11,10.5
2021-10-12,9.5
2021-10-13,10.5
2021-10-14,11.8
2021-10-15,11.2
2021-10-15,11.1
2021-10-29,11.3
2021-10-30,10.9
2021-10-31,11.7
2021-11-01,12.7
2021-11-02,11.6
2021-11-03,12
2021-11-04,11.6
2021-11-04,13.2
2021-11-23,11.3
2021-11-24,10.8
2021-11-25,11.5
2021-11-26,11.2
2021-11-27,10.3
2021-11-28,10.7
2021-11-29,10.5
2021-11-30,10.5
2021-11-30,9.7
2021-12-19,10.4
2021-12-20,9.6
2021-12-21,10.8
2021-12-22,11
2021-12-23,9
2021-12-24,10.8
2021-12-25,10.4
2021-12-25,9.7
2022-01-13,11
2022-01-14,9.8
2022-01-15,9.9
2022-01-16,11
2022-01-17,10.3
2022-01-17,10.4
2022-01-19,10.3
2022-01-20,10.2
2022-01-21,9.5
2022-01-21,10.6
2022-02-12,11.4
2022-02-13,11.3
2022-02-14,12.1
2022-02-15,11
2022-02-16,11.3
2022-02-17,11.1
2022-02-18,10.7
2022-02-18,12.5
2022-03-06,9.3
2022-03-07,10.3
2022-03-08,10.5
2022-03-09,11.7
2022-03-10,10.8
2022-03-11,10.9
2022-03-12,10.8
2022-03-13,10.2
2022-04-05,9.8
2022-04-06,10
2022-04-07,9.8
2022-04-08,10
2022-04-09,10.2
2022-04-10,10
2022-04-11,9.9
2022-04-12,10.1
2022-04-13,10.3
2022-04-14,8.9
2022-04-15,7.8
2022-04-15,9.7
2022-04-18,9.47
2022-04-19,9.04
2022-04-20,8.58
2022-04-21,9.33
2022-04-22,9.46
2022-04-23,9.71
2022-04-24,9.63
2022-04-25,9.75
2022-04-26,10.63
2022-04-27,9.71
2022-04-28,9.5
2022-04-29,9.33
2022-04-30,9.58
2022-06-01,8.86
2022-06-02,9.67
2022-06-03,9.83
2022-06-04,9.13
2022-06-05,9.29
2022-06-06,9.96
2022-06-07,9.92
2022-06-08,9.96
2022-06-08,10.55
2022-06-23,9.41
2022-06-24,9.21
2022-06-25,10.42
2022-06-26,8.71
2022-06-27,8.75
2022-06-28,8.88
2022-06-29,8.54
2022-06-30,8.96
2022-07-01,10
