UTC Date & Time,Voyage No.,Instructed Speed,CP Fuel Cons. Limit,SS/HS/PS,Steaming time (HRS),Speed (KTS),Slip (%),Wind force,ME FO Consumption,Total FO Consumption,ME FO Consumption / 24 hrs,TOTAL FO Consumption / 24 hrs
26-Aug-21,01 L,11,36,SS,3.6,10.3,13.95,4,4.99,5.39,68.67,35.93
27-Aug-21,01 L,11,36,SS,24,10.4,15.82,5,34,37,10.4,37
28-Aug-21,01 L,11,36,SS,24,10.5,16.61,5,34,37,10.5,37
29-Aug-21,01 L,11,36,SS,24,10.5,15.72,6,34,37,10.5,37
30-Aug-21,01 L,11,36,SS,24,9.5,25,5,34,37,9.5,37
31-Aug-21,01 L,11,36,SS,24,10.4,16.11,5,34,37,10.4,37
1-Sep-21,01 L,11,36,SS,24,10.3,17.33,4,34,37,10.3,37
2-Sep-21,01 L,11,36,SS,24,10.4,16.39,5,34,37,10.4,37
2-Sep-21,01 L,11,36,SS,9,10.2,19.3,5,12.7,13.8,27.2,36.8
14-Sep-21,02 L,11,36,SS,12.9,9.8,10.56,3,18.2,19.8,18.23,36.84
16-Sep-21,02 L,11,36,SS,17.9,10,19.55,4,25.2,27.5,13.41,36.87
17-Sep-21,02 L,11,36,SS,24,9.5,19.65,3,32.9,35.4,9.5,35.4
18-Sep-21,02 L,11,36,SS,24,10.3,18,4,34,37,10.3,37
19-Sep-21,02 L,11,36,SS,24,10,17.87,4,33.3,36.2,10,36.2
19-Sep-21,02 L,11,36,SS,8.8,8.9,32.76,4,12.4,13.5,24.27,36.82
9-Oct-21,03 L,11,36,SS,13,11.1,7.69,4,18.17,17.37,20.49,32.07
10-Oct-21,03 L,11,36,SS,24,11,12.25,4,34,37,11,37
11-Oct-21,03 L,11,36,SS,24,10.5,17.32,4,34,37,10.5,37
12-Oct-21,03 L,11,36,SS,24,9.5,24.5,6,33,36,9.5,36
13-Oct-21,03 L,11,36,SS,24,10.5,16.23,5,33,36,10.5,36
14-Oct-21,03 L,11,36,SS,24,11.8,6.62,4,33,36,11.8,36
15-Oct-21,03 L,11,36,SS,24,11.2,11.26,3,33,36,11.2,36
15-Oct-21,03 L,11,36,SS,15,11.1,12.17,3,20.8,22.5,17.76,36
29-Oct-21,04 L,11,36,SS,12,11.3,11.69,5,18,19.5,22.6,39
30-Oct-21,04 L,11,36,SS,24,10.9,16.88,5,37,40,10.9,40
31-Oct-21,04 L,11,36,SS,24,11.7,11.95,4,37.5,40.5,11.7,40.5
1-Nov-21,04 L,11,36,SS,24,12.7,4.09,4,37.5,40.5,12.7,40.5
2-Nov-21,04 L,11,36,SS,24,11.6,12.26,4,37.5,40.5,11.6,40.5
3-Nov-21,04 L,11,36,SS,24,12,9.12,4,37.5,40.5,12,40.5
4-Nov-21,04 L,11,36,SS,24,11.6,12.26,4,37.5,40.5,11.6,40.5
4-Nov-21,04 L,11,36,SS,2.5,13.2,0.6,4,4,4.3,126.72,41.28
23-Nov-21,05 L,11,36,SS,15.5,11.3,12.94,3,24.2,26.1,17.5,40.41
24-Nov-21,05 L,11,36,SS,24,10.8,14.52,4,32,35,10.8,35
25-Nov-21,05 L,11,36,SS,24,11.5,8.61,4,32.5,35.5,11.5,35.5
26-Nov-21,05 L,11,36,SS,24,11.2,10.96,4,32.5,35.5,11.2,35.5
27-Nov-21,05 L,11,36,SS,21,10.3,18.8,4,28.4,31,11.77,35.43
28-Nov-21,05 L,11,36,SS,16,10.7,12.31,4,21.6,23.6,16.05,35.4
29-Nov-21,05 L,11,36,SS,24,10.5,16.56,4,32.5,35.5,10.5,35.5
30-Nov-21,05 L,11,36,SS,24,10.5,16.56,4,32.5,35.5,10.5,35.5
30-Nov-21,05 L,11,36,SS,3,9.7,25.64,3,4.05,4.4,77.6,35.2
19-Dec-21,06L,11,36,SS,23.4,10.4,17.91,5,30,31.95,10.67,32.77
